,1y_ret,1y_ret_ward,Price,Year,Type,Ward
497,0.11906756901922866,0.14205607476635507,611000.0,2017,S,Cobham and Downside
513,-0.13562220710200634,-0.12438625204582654,535000.0,2018,S,Cobham and Downside
529,0.06776739356178607,0.03887850467289722,555800.0,2019,S,Cobham and Downside
545,-0.05864760466493135,-0.0014393666786614023,555000.0,2020,S,Cobham and Downside
561,0.09436059436059452,0.14414414414414423,635000.0,2021,S,Cobham and Downside
593,-0.030303030303030276,-0.030303030303030276,320000.0,2011,T,Cobham and Downside
609,0.015424959991998444,0.015625,325000.0,2012,T,Cobham and Downside
625,0.1661538461538461,0.24615384615384617,405000.0,2013,T,Cobham and Downside
641,-0.13487654320987663,0.002160493827160437,405875.0,2014,T,Cobham and Downside
657,0.1200306170867822,0.19494918386202653,485000.0,2015,T,Cobham and Downside
673,-0.18167760074976558,-0.06804123711340204,452000.0,2016,T,Cobham and Downside
689,0.3269369694780566,0.34734513274336276,609000.0,2017,T,Cobham and Downside
705,-0.21595599343185545,-0.21182266009852213,480000.0,2018,T,Cobham and Downside
721,-0.037537069003673706,-0.04166666666666663,460000.0,2019,T,Cobham and Downside
737,-0.08349212772112313,-0.04347826086956519,440000.0,2020,T,Cobham and Downside
753,0.053904428904429036,0.07954545454545459,475000.0,2021,T,Cobham and Downside
18,-0.06285071739466064,-0.0722753346080306,1213000.0,2011,D,Esher
34,0.07818867035684862,0.10676009892827709,1342500.0,2012,D,Esher
50,-0.008628181253879541,0.04692737430167604,1405500.0,2013,D,Esher
66,-0.018339605684435156,0.095695482034863,1540000.0,2014,D,Esher
82,-0.026625933121996015,0.004870129870129913,1547500.0,2015,D,Esher
98,-0.0861090900122089,-0.025040387722132462,1508750.0,2016,D,Esher
114,0.04328169610127963,0.08285004142502062,1633750.0,2017,D,Esher
130,0.03709067226512541,0.04055087987758221,1700000.0,2018,D,Esher
146,0.0021298174442190287,-0.032352941176470584,1645000.0,2019,D,Esher
162,-0.10790273556231,-0.03647416413373861,1585000.0,2020,D,Esher
178,-0.02178759200841207,0.03154574132492116,1635000.0,2021,D,Esher
210,-0.04775828460038989,-0.07407407407407407,250000.0,2011,F,Esher
226,-0.027027027027026973,0.0,250000.0,2012,F,Esher
242,0.6573684210526316,0.71,427500.0,2013,F,Esher
258,-0.2592690058479532,-0.17426900584795324,353000.0,2014,F,Esher
274,-0.26713424106734907,-0.13810198300283283,304250.0,2015,F,Esher
290,0.031839753156809314,0.1379622021364011,346225.0,2016,F,Esher
306,-0.1348867956150137,-0.10462849303198785,310000.0,2017,F,Esher
322,0.22472039929753218,0.20967741935483875,375000.0,2018,F,Esher
338,-0.2244848484848485,-0.2426666666666667,284000.0,2019,F,Esher
354,0.5933098591549295,0.5933098591549295,452500.0,2020,F,Esher
370,-0.2604460814405565,-0.25303867403314917,338000.0,2021,F,Esher
402,0.33016121809225263,0.3474025974025974,415000.0,2011,S,Esher
418,-0.2899224014702878,-0.25602409638554213,308750.0,2012,S,Esher
434,0.08746266675516012,0.15303643724696347,356000.0,2013,S,Esher
450,0.1268528522039758,0.24992977528089888,444975.0,2014,S,Esher
466,-0.15651179418268069,-0.06062138322377664,418000.0,2015,S,Esher
482,0.49144736842105274,0.5789473684210527,660000.0,2016,S,Esher
498,-0.2729885057471264,-0.25,495000.0,2017,S,Esher
514,-0.025377369197593924,-0.014141414141414121,488000.0,2018,S,Esher
530,0.028888888888888853,0.0,488000.0,2019,S,Esher
546,-0.0290320084780733,0.02817622950819665,501750.0,2020,S,Esher
562,0.05385371977300246,0.10363726955655217,553750.0,2021,S,Esher
594,0.32692307692307687,0.32692307692307687,431250.0,2011,T,Esher
610,-0.2523739530514798,-0.25217391304347825,322500.0,2012,T,Esher
626,0.43162790697674414,0.5116279069767442,487500.0,2013,T,Esher
642,-0.2857549857549858,-0.14871794871794874,415000.0,2014,T,Esher
658,0.009418782622345967,0.0843373493975903,450000.0,2015,T,Esher
674,-0.02474747474747474,0.0888888888888888,490000.0,2016,T,Esher
690,0.1020408163265305,0.12244897959183665,550000.0,2017,T,Esher
706,-0.167769696969697,-0.1636363636363637,460000.0,2018,T,Esher
722,0.026955684619514697,0.022826086956521774,470500.0,2019,T,Esher
738,-0.06764404751043152,-0.02763018065887357,457500.0,2020,T,Esher
754,0.17654476670870123,0.20218579234972678,550000.0,2021,T,Esher
19,-0.1297058175692387,-0.13913043478260867,495000.0,2011,D,Hersham Village
35,0.05021645021645038,0.07878787878787885,534000.0,2012,D,Hersham Village
51,-0.04431960049937578,0.011235955056179803,540000.0,2013,D,Hersham Village
67,0.043372319688109284,0.15740740740740744,625000.0,2014,D,Hersham Village
83,-0.015496062992125914,0.016000000000000014,635000.0,2015,D,Hersham Village
99,0.001923423694175641,0.06299212598425208,675000.0,2016,D,Hersham Village
115,0.17709832134292558,0.21666666666666656,821250.0,2017,D,Hersham Village
131,-0.12674787884533356,-0.12328767123287676,720000.0,2018,D,Hersham Village
147,-0.030100574712643713,-0.06458333333333333,673500.0,2019,D,Hersham Village
163,-0.03950578004030114,0.031922791388270255,695000.0,2020,D,Hersham Village
179,0.1840767386091129,0.23741007194244612,860000.0,2021,D,Hersham Village
211,-0.13314366998577531,-0.1594594594594595,155500.0,2011,F,Hersham Village
227,0.2591466064134875,0.2861736334405145,200000.0,2012,F,Hersham Village
243,-0.027881578947368313,0.02475000000000005,204950.0,2013,F,Hersham Village
259,0.012828738716760268,0.09782873871676023,225000.0,2014,F,Hersham Village
275,-0.1512544802867385,-0.022222222222222254,220000.0,2015,F,Hersham Village
291,0.23933209647495368,0.34545454545454546,296000.0,2016,F,Hersham Village
307,-0.1147177620424853,-0.08445945945945943,271000.0,2017,F,Hersham Village
323,0.14050423455523964,0.1254612546125462,305000.0,2018,F,Hersham Village
339,0.0673621460506707,0.049180327868852514,320000.0,2019,F,Hersham Village
355,0.08437500000000009,0.08437500000000009,347000.0,2020,F,Hersham Village
371,-0.24371864660049092,-0.2363112391930836,265000.0,2021,F,Hersham Village
403,-0.05656254000433669,-0.03932116069399194,317000.0,2011,S,Hersham Village
419,-0.02443458268726939,0.009463722397476282,320000.0,2012,S,Hersham Village
435,0.06723872950819665,0.1328125,362500.0,2013,S,Hersham Village
451,0.007888594164456197,0.13096551724137928,409975.0,2014,S,Hersham Village
467,0.0017374931815923311,0.09762790414049638,450000.0,2015,S,Hersham Village
483,0.005833333333333357,0.09333333333333327,492000.0,2016,S,Hersham Village
499,-0.024512895991028794,-0.0015243902439023849,491250.0,2017,S,Hersham Village
515,0.0880006861651943,0.0992366412213741,540000.0,2018,S,Hersham Village
531,0.09370370370370373,0.06481481481481488,575000.0,2019,S,Hersham Village
