,yoy,cluster,Year,Type,Latitude,Longitude
153,0.125,11,2014,S,51.380879,-0.327811
151,0.02564102564102555,11,2013,S,51.379749,-0.32971100000000003
149,-0.6083333333333334,11,2012,S,51.375159000000004,-0.327731
147,0.25531914893617014,11,2011,S,51.381438,-0.327307
179,-0.46099290780141844,13,2021,D,51.33645,-0.37719899999999995
178,1.5,13,2020,D,51.337053999999995,-0.375736
177,-0.4462131578947368,13,2019,D,51.336061,-0.376206
176,0.4778629436558812,13,2018,D,51.337039499999996,-0.37719899999999995
175,-0.09324758842443726,13,2017,D,51.33485,-0.37719899999999995
174,0.15957446808510634,13,2016,D,51.339853999999995,-0.377575
173,-0.07033639143730885,13,2015,D,51.336227,-0.376996
172,-0.23684210526315785,13,2014,D,51.33645,-0.377433
171,-0.18534482758620685,13,2013,D,51.336996,-0.377575
170,0.6296296296296295,13,2012,D,51.336397500000004,-0.37753800000000004
169,-0.4545389610389611,13,2011,D,51.33618,-0.37750100000000003
202,0.6483516483516483,14,2021,D,51.359107,-0.330315
200,-0.6,14,2020,D,51.3589055,-0.3301045
198,0.3999999999999999,14,2019,D,51.359190000000005,-0.33020700000000003
196,1.9285714285714284,14,2018,D,51.360202,-0.329023
194,-0.3943089430894309,14,2017,D,51.35717,-0.329023
192,-0.11409395973154357,14,2016,D,51.359107,-0.330315
190,0.5909090909090908,14,2015,D,51.35978,-0.330423
188,-0.38095238095238093,14,2014,D,51.3598715,-0.329023
186,-0.0461538461538461,14,2013,D,51.35873,-0.33166399999999996
184,-0.33870967741935487,14,2012,D,51.358106,-0.329023
182,-0.024365853658536607,14,2011,D,51.360256500000006,-0.3310305
203,0.5739130434782609,14,2021,S,51.361216999999996,-0.334877
201,-0.0545580110497238,14,2020,S,51.36368,-0.333874
199,-0.2208424640857073,14,2019,S,51.363778499999995,-0.334106
197,0.3374999999999999,14,2018,S,51.360803999999995,-0.334081
195,-0.28037383177570097,14,2017,S,51.363209000000005,-0.33368000000000003
193,0.09610389610389602,14,2016,S,51.362854999999996,-0.3340745
191,-0.12322274881516593,14,2015,S,51.362854999999996,-0.334193
189,0.16216216216216206,14,2014,S,51.362678,-0.334877
187,-0.2558139534883721,14,2013,S,51.362678,-0.334255
185,-0.0625,14,2012,S,51.362528999999995,-0.334081
183,-0.046666666666666634,14,2011,S,51.3626035,-0.334613
226,-0.7191011235955056,16,2021,F,51.379108,-0.434079
224,1.0,16,2020,F,51.377925,-0.434378
222,-0.75,16,2019,F,51.379069,-0.434079
220,1.6920000000000002,16,2018,F,51.379108,-0.434079
218,1.8083209509658245,16,2017,F,51.379108,-0.434079
216,-0.2328042328042328,16,2016,F,51.379108,-0.434079
214,-0.5689655172413793,16,2015,F,51.377925,-0.435771
212,-0.12,16,2014,F,51.378479,-0.43531000000000003
210,0.4995454545454545,16,2013,F,51.378369,-0.43566499999999997
208,-0.060624431645953325,16,2012,F,51.377324,-0.434844
206,1.1942562116811875,16,2011,F,51.378369,-0.43597850000000005
227,-0.08794788273615639,16,2021,T,51.375938000000005,-0.434895
225,0.10003571428571423,16,2020,T,51.37917,-0.43458800000000003
223,0.5807928314015778,16,2019,T,51.375395000000005,-0.435191
221,-0.2811665639761758,16,2018,T,51.375395000000005,-0.434852
219,0.30000000000000004,16,2017,T,51.375395000000005,-0.434895
217,-0.18681318681318682,16,2016,T,51.3763845,-0.4346715
215,-0.22702702702702704,16,2015,T,51.375547,-0.434895
213,0.6258741258741258,16,2014,T,51.37648,-0.434895
211,-0.24731182795698925,16,2013,T,51.3764975,-0.434809
209,-0.05685714285714283,16,2012,T,51.3772245,-0.4346985
207,-0.2968797334141169,16,2011,T,51.375918,-0.4346715
239,0.007984031936127733,17,2021,F,51.368683000000004,-0.36438899999999996
238,-0.801980198019802,17,2020,F,51.36874,-0.365693
237,1.0,17,2019,F,51.370369000000004,-0.36438899999999996
236,-0.692,17,2018,F,51.369854,-0.366225
235,1.8896103896103895,17,2017,F,51.370614,-0.362956
234,-0.1853932584269663,17,2016,F,51.369854,-0.366225
233,0.9724137931034482,17,2015,F,51.368683000000004,-0.364829
232,0.11888111888111896,17,2014,F,51.36874,-0.36438899999999996
231,-0.421875,17,2013,F,51.36874,-0.365298
230,0.07027027027027022,17,2012,F,51.369403,-0.364077
229,-0.29292929292929293,17,2011,F,51.368439,-0.367296
262,0.73,19,2021,S,51.40148,-0.363293
260,-0.6791907514450868,19,2020,S,51.400714,-0.363293
258,-0.4144144144144144,19,2019,S,51.400714,-0.363481
256,1.076923076923077,19,2018,S,51.399505500000004,-0.363989
254,0.8148148148148149,19,2017,S,51.399716999999995,-0.364234
252,-0.8775510204081632,19,2016,S,51.4004215,-0.363315
250,7.933333333333334,19,2015,S,51.4001545,-0.363293
248,-0.4477611940298507,19,2014,S,51.3990125,-0.363398
246,-0.19932432432432434,19,2013,S,51.400129,-0.363481
244,-0.4092827004219409,19,2012,S,51.399688999999995,-0.363481
242,-0.042857142857142816,19,2011,S,51.400714,-0.363481
263,0.8309859154929577,19,2021,T,51.40018,-0.365104
261,-1.5999230769230768,19,2020,T,51.400116,-0.365265
259,-4.935119887165021,19,2019,T,51.400116,-0.365104
257,-0.6660149885956337,19,2018,T,51.400373,-0.3648715
255,2.6390243902439026,19,2017,T,51.40018,-0.3648715
253,-1.3219839142091152,19,2016,T,51.400774,-0.362557
251,-2.5149875104079933,19,2015,T,51.400566,-0.365735
249,-0.6977191536136301,19,2014,T,51.40067,-0.3625205
247,-2.5272727272727273,19,2013,T,51.40018,-0.362557
245,-1.8345238095238097,19,2012,T,51.400148,-0.3651845
243,-0.463623395149786,19,2011,T,51.40018,-0.364093
275,-0.6930161166538757,21,2021,S,51.4058065,-0.376053
274,0.303030303030303,21,2020,S,51.40423849999999,-0.37620050000000005
273,-0.8837209302325582,21,2019,S,51.404571999999995,-0.37639
272,-1.16,21,2018,S,51.404222999999995,-0.376348
271,-38.5,21,2017,S,51.404182,-0.37639
270,1.15,21,2016,S,51.404182,-0.376104
269,-0.06976744186046513,21,2015,S,51.404498,-0.37620050000000005
268,-0.7500416666666667,21,2014,S,51.404253999999995,-0.376348
267,1.667111185197533,21,2013,S,51.404222999999995,-0.376716
266,-0.8549875,21,2012,S,51.404182,-0.376104
265,6.844151366261529,21,2011,S,51.404182,-0.376348
287,0.24137931034482762,22,2021,D,51.322009,-0.38455700000000004
286,-0.20666666666666667,22,2020,D,51.322215,-0.38406999999999997
285,0.19047619047619047,22,2019,D,51.322278999999995,-0.38455700000000004
284,0.1941176470588235,22,2018,D,51.322889,-0.388474
283,-0.37438423645320196,22,2017,D,51.323491000000004,-0.388022
282,-0.007874015748031482,22,2016,D,51.322243,-0.387425
281,-0.12698412698412698,22,2015,D,51.32336,-0.388022
280,0.10909090909090913,22,2014,D,51.321301,-0.38815900000000003
279,-0.14754098360655743,22,2013,D,51.322215,-0.387425
278,0.3846153846153846,22,2012,D,51.321552,-0.3884455
277,-0.2777638888888889,22,2011,D,51.322215,-0.388732
299,-0.5428571428571429,23,2021,S,51.3709585,-0.39163499999999996
298,2.1875,23,2020,S,51.370676,-0.39166999999999996
297,-0.5588235294117647,23,2019,S,51.37052250000001,-0.39118
296,1.8222222222222224,23,2018,S,51.370176,-0.3907665
295,-1.3937007874015748,23,2017,S,51.370235,-0.39203599999999994
294,-1.88,23,2016,S,51.371643,-0.392447
293,1.272727272727273,23,2015,S,51.370369,-0.3915925
292,-1.31392,23,2014,S,51.370503,-0.392349
291,1.994393476044852,23,2013,S,51.3701365,-0.3908045
290,-0.25531914893617025,23,2012,S,51.3705895,-0.391585
289,1.2857142857142856,23,2011,S,51.370503,-0.392402
311,0.0763052208835342,24,2021,D,51.325542,-0.35649400000000003
310,-0.16044776119402981,24,2020,D,51.325542,-0.35649400000000003
309,0.19999999999999996,24,2019,D,51.325844000000004,-0.353951
308,-0.12962962962962965,24,2018,D,51.324549,-0.353951
307,-0.3021276595744681,24,2017,D,51.327869,-0.356065
306,0.6585365853658536,24,2016,D,51.325542,-0.35552649999999997
305,-0.09558823529411764,24,2015,D,51.325443,-0.3520615
304,0.6341463414634145,24,2014,D,51.325542,-0.356394
303,-0.5497512437810945,24,2013,D,51.324758,-0.356002
302,0.8298342541436463,24,2012,D,51.325289,-0.35552649999999997
301,-0.5229408212560387,24,2011,D,51.325292,-0.355068
334,1.3641975308641974,25,2021,D,51.371712,-0.412666
332,-0.007832898172323799,25,2020,D,51.368528999999995,-0.41564300000000004
330,-0.2494736842105263,25,2019,D,51.370453,-0.41433100000000006
328,-0.032258064516129004,25,2018,D,51.371712,-0.41351499999999997
326,-0.48913043478260865,25,2017,D,51.3719125,-0.41503599999999996
324,-0.05700709219858158,25,2016,D,51.3719125,-0.41241700000000003
322,-0.3832824415998556,25,2015,D,51.371712,-0.41306800000000005
320,0.526829268292683,25,2014,D,51.371712,-0.41351499999999997
318,-0.8961661341853036,25,2013,D,51.370524,-0.412867
316,7.384615384615385,25,2012,D,51.370877,-0.41351499999999997
314,0.1009357798165138,25,2011,D,51.3707835,-0.415225
335,-3.9473684210526314,25,2021,F,51.372192999999996,-0.4152725
333,-1.6428571428571428,25,2020,F,51.373491,-0.41366250000000004
331,4.347222222222222,25,2019,F,51.373397,-0.414807
329,-0.9148051948051948,25,2018,F,51.372192999999996,-0.41601099999999996
327,-1.4878048780487805,25,2017,F,51.372192999999996,-0.414807
325,8.9325,25,2016,F,51.374096,-0.41379
323,-0.7184369494085074,25,2015,F,51.37444549999999,-0.414756
321,-0.06136861395431992,25,2014,F,51.373397,-0.41528000000000004
319,-0.04761904761904767,25,2013,F,51.374269,-0.41379
317,-9.6325,25,2012,F,51.372192999999996,-0.414807
315,-1.2316825948450623,25,2011,F,51.372192999999996,-0.41601099999999996
347,1.6923076923076925,26,2021,F,51.386673,-0.42014399999999996
346,1.8142857142857145,26,2020,F,51.386843,-0.42014399999999996
345,-0.949238578680203,26,2019,F,51.387157,-0.422775
344,0.56,26,2018,F,51.386727,-0.420133
343,2.717948717948718,26,2017,F,51.386074,-0.419734
342,0.6362068965517242,26,2016,F,51.385573,-0.419734
341,-0.40990516332982085,26,2015,F,51.386576,-0.419734
340,-0.1339285714285714,26,2014,F,51.386074,-0.420133
339,0.030927835051546282,26,2013,F,51.385651,-0.419734
338,-1.1,26,2012,F,51.385573,-0.419734
337,-5.0,26,2011,F,51.386016999999995,-0.420133
370,-0.5027624309392265,27,2021,F,51.380469,-0.403683
368,-1.0444444444444445,27,2020,F,51.38141,-0.403683
366,1.5,27,2019,F,51.383196999999996,-0.40391900000000003
364,-1.76,27,2018,F,51.383581,-0.400399
362,-1.7894736842105263,27,2017,F,51.383008000000004,-0.40391900000000003
360,0.6666666666666667,27,2016,F,51.383515,-0.403683
358,-7.6,27,2015,F,51.383581,-0.401828
356,0.21212121212121215,27,2014,F,51.380469,-0.403683
354,-0.9375,27,2013,F,51.383581,-0.400399
352,-26.6,27,2012,F,51.380469,-0.40391900000000003
350,-1.75,27,2011,F,51.383526,-0.401828
371,1.169230769230769,27,2021,S,51.385234000000004,-0.4045265
369,-0.7470449172576832,27,2020,S,51.3841805,-0.404169
367,1.897196261682243,27,2019,S,51.3850925,-0.40426550000000006
365,-0.3548387096774194,27,2018,S,51.385512,-0.40420500000000004
363,-0.19999999999999996,27,2017,S,51.3850925,-0.4059155
361,0.19999999999999996,27,2016,S,51.38395,-0.404898
359,-0.6145833333333333,27,2015,S,51.384502000000005,-0.40420500000000004
357,2.108108108108108,27,2014,S,51.385643,-0.40420500000000004
355,-0.26086956521739135,27,2013,S,51.3844565,-0.40271
353,-1.0,27,2012,S,51.384951,-0.40420500000000004
351,inf,27,2011,S,51.385494,-0.40420500000000004
405,-1.9565217391304348,28,2021,F,51.391439,-0.413425
402,0.36363636363636354,28,2020,F,51.390249,-0.4141955
399,0.16666666666666674,28,2019,F,51.390842,-0.412757
396,-2.1657142857142855,28,2018,F,51.3912485,-0.4133245
393,-0.5098039215686274,28,2017,F,51.3895625,-0.413406
390,-0.125,28,2016,F,51.390878,-0.41263500000000003
387,0.015857142857142792,28,2015,F,51.390210499999995,-0.413387
384,-0.08592321755027421,28,2014,F,51.391262999999995,-0.41263500000000003
381,0.23076923076923084,28,2013,F,51.391376,-0.413387
378,0.11250000000000004,28,2012,F,51.390878,-0.413387
375,-0.101123595505618,28,2011,F,51.3911585,-0.4135535
406,inf,28,2021,S,51.392732,-0.413224
403,3.066852367688022,28,2020,S,51.392532,-0.41453599999999996
400,-0.31506849315068497,28,2019,S,51.391777000000005,-0.41473699999999997
397,-0.61,28,2018,S,51.393489,-0.41282299999999994
394,-0.23076923076923073,28,2017,S,51.392732,-0.41282299999999994
391,1.1666666666666665,28,2016,S,51.392433000000004,-0.413224
388,-1.0876923076923077,28,2015,S,51.39241,-0.41372
385,-7.491228070175438,28,2014,S,51.392433000000004,-0.41282299999999994
382,1.5405405405405403,28,2013,S,51.392433000000004,-0.414466
379,-0.46808510638297873,28,2012,S,51.3910645,-0.41372
376,-1.8,28,2011,S,51.391883,-0.4135535
407,-0.9149021276595745,28,2021,T,51.393976,-0.413954
404,10.002100210021002,28,2020,T,51.3928745,-0.41473550000000003
401,0.06263066993909638,28,2019,T,51.3947225,-0.41369
398,-0.2301112061591104,28,2018,T,51.394433,-0.41364100000000004
395,-0.27888888888888885,28,2017,T,51.392666999999996,-0.41520100000000004
392,-0.9614791987673343,28,2016,T,51.394473,-0.41282299999999994
389,29.4,28,2015,T,51.39427,-0.4138755
386,0.26315789473684204,28,2014,T,51.390334499999994,-0.413406
383,-0.5833333333333333,28,2013,T,51.393646000000004,-0.41395299999999996
380,0.6775,28,2012,T,51.392765000000004,-0.414326
377,-1.3487332339791356,28,2011,T,51.3910475,-0.4148685
419,-0.4666666666666667,31,2021,D,51.376868,-0.403077
418,-1.1,31,2020,D,51.376379,-0.40225900000000003
417,-11.5,31,2019,D,51.3768345,-0.402919
416,-0.5095238095238095,31,2018,D,51.377531,-0.401876
