,Price,Date,Year,Type,Lat,Lon,cluster
123,678500,2021-08-06,2021,S,51.40065451428571,-0.3631952285714286,19
124,284950,2010-08-03,2010,S,51.40065451428571,-0.3631952285714286,19
125,250000,2011-11-18,2011,S,51.40065451428571,-0.3631952285714286,19
126,315000,2011-08-10,2011,S,51.40065451428571,-0.3631952285714286,19
127,550000,2020-08-07,2020,S,51.40065451428571,-0.3631952285714286,19
128,795000,2021-12-09,2021,S,51.40065451428571,-0.3631952285714286,19
129,635000,2021-08-26,2021,S,51.40065451428571,-0.3631952285714286,19
130,280000,2011-11-11,2011,S,51.40065451428571,-0.3631952285714286,19
131,233000,2013-06-07,2013,S,51.40065451428571,-0.3631952285714286,19
132,327500,2014-01-28,2014,S,51.40065451428571,-0.3631952285714286,19
133,565000,2019-04-29,2019,S,51.40065451428571,-0.3631952285714286,19
134,323500,2010-08-13,2010,S,51.40065451428571,-0.3631952285714286,19
135,450000,2011-09-13,2011,S,51.40065451428571,-0.3631952285714286,19
136,375000,2012-05-02,2012,S,51.40065451428571,-0.3631952285714286,19
137,338000,2012-11-02,2012,S,51.40065451428571,-0.3631952285714286,19
138,358000,2013-11-06,2013,S,51.40065451428571,-0.3631952285714286,19
139,487000,2014-11-12,2014,S,51.40065451428571,-0.3631952285714286,19
140,440000,2016-10-03,2016,S,51.40065451428571,-0.3631952285714286,19
141,450000,2017-04-28,2017,S,51.40065451428571,-0.3631952285714286,19
142,465000,2017-03-31,2017,S,51.40065451428571,-0.3631952285714286,19
143,480000,2017-09-14,2017,S,51.40065451428571,-0.3631952285714286,19
144,450000,2018-12-20,2018,S,51.40065451428571,-0.3631952285714286,19
145,470000,2019-04-12,2019,S,51.40065451428571,-0.3631952285714286,19
146,715000,2020-12-21,2020,S,51.40065451428571,-0.3631952285714286,19
147,270000,2011-08-25,2011,S,51.40065451428571,-0.3631952285714286,19
148,250000,2012-01-20,2012,S,51.40065451428571,-0.3631952285714286,19
149,418250,2013-08-02,2013,S,51.40065451428571,-0.3631952285714286,19
150,577000,2020-07-03,2020,S,51.40065451428571,-0.3631952285714286,19
151,455000,2021-06-18,2021,S,51.40065451428571,-0.3631952285714286,19
152,470000,2011-05-12,2011,S,51.40065451428571,-0.3631952285714286,19
153,340000,2012-06-01,2012,S,51.40065451428571,-0.3631952285714286,19
154,335000,2012-08-03,2012,S,51.40065451428571,-0.3631952285714286,19
155,710000,2016-09-01,2016,S,51.40065451428571,-0.3631952285714286,19
156,390000,2019-08-12,2019,S,51.40065451428571,-0.3631952285714286,19
157,858000,2020-12-02,2020,S,51.40065451428571,-0.3631952285714286,19
158,282500,2011-07-22,2011,S,51.40065451428571,-0.3631952285714286,19
159,368000,2013-03-11,2013,S,51.40065451428571,-0.3631952285714286,19
160,427000,2014-11-21,2014,S,51.40065451428571,-0.3631952285714286,19
161,485000,2020-03-06,2020,S,51.40065451428571,-0.3631952285714286,19
162,585000,2021-11-22,2021,S,51.40065451428571,-0.3631952285714286,19
163,575000,2021-03-08,2021,S,51.40065451428571,-0.3631952285714286,19
164,398500,2012-04-27,2012,S,51.40065451428571,-0.3631952285714286,19
165,680000,2017-07-12,2017,S,51.40065451428571,-0.3631952285714286,19
166,527500,2012-08-23,2012,S,51.40065451428571,-0.3631952285714286,19
167,360000,2015-02-13,2015,S,51.40065451428571,-0.3631952285714286,19
168,580000,2017-09-28,2017,S,51.40065451428571,-0.3631952285714286,19
169,280000,2011-09-30,2011,S,51.40065451428571,-0.3631952285714286,19
170,440000,2016-09-29,2016,S,51.40065451428571,-0.3631952285714286,19
171,318000,2012-05-03,2012,S,51.40065451428571,-0.3631952285714286,19
172,325000,2012-02-01,2012,S,51.40065451428571,-0.3631952285714286,19
173,397500,2015-07-31,2015,S,51.40065451428571,-0.3631952285714286,19
174,360000,2016-04-28,2016,S,51.40065451428571,-0.3631952285714286,19
175,302000,2016-01-08,2016,S,51.40065451428571,-0.3631952285714286,19
176,240000,2010-06-30,2010,T,51.40065451428571,-0.3631952285714286,19
177,272500,2010-11-17,2010,T,51.40065451428571,-0.3631952285714286,19
178,228500,2012-11-06,2012,T,51.40065451428571,-0.3631952285714286,19
179,296000,2013-06-05,2013,T,51.40065451428571,-0.3631952285714286,19
180,335000,2014-08-22,2014,T,51.40065451428571,-0.3631952285714286,19
181,355000,2015-10-23,2015,T,51.40065451428571,-0.3631952285714286,19
182,290000,2010-10-25,2010,T,51.40065451428571,-0.3631952285714286,19
183,360000,2012-02-10,2012,T,51.40065451428571,-0.3631952285714286,19
184,385000,2012-11-30,2012,T,51.40065451428571,-0.3631952285714286,19
185,285000,2013-03-28,2013,T,51.40065451428571,-0.3631952285714286,19
