,5y_ret,5y_ret_ward,Price,Year,Type,Ward
482,0.1157851745966918,0.5903614457831325,660000.0,2016,S,Esher
498,0.14422247295413815,0.6032388663967612,495000.0,2017,S,Esher
514,-0.01382886776145198,0.3707865168539326,488000.0,2018,S,Esher
530,-0.10056944864533723,0.09669082532726558,488000.0,2019,S,Esher
546,0.04535885167464104,0.20035885167464107,501750.0,2020,S,Esher
562,-0.2759273772204808,-0.1609848484848485,553750.0,2021,S,Esher
658,0.06435133180482255,0.3846153846153846,450000.0,2015,T,Esher
674,-0.3340621747537913,0.13623188405797104,490000.0,2016,T,Esher
690,0.2054263565891472,0.7054263565891472,550000.0,2017,T,Esher
706,-0.4510398860398861,-0.05641025641025643,460000.0,2018,T,Esher
722,-0.08774714493151747,0.13373493975903616,470500.0,2019,T,Esher
738,-0.16515151515151527,0.016666666666666607,457500.0,2020,T,Esher
754,0.034013605442176686,0.12244897959183665,550000.0,2021,T,Esher
83,-0.13151288958017227,0.10434782608695659,635000.0,2015,D,Hersham Village
99,0.039826839826839766,0.36363636363636354,675000.0,2016,D,Hersham Village
115,0.19995838535164379,0.5379213483146068,821250.0,2017,D,Hersham Village
131,0.06140350877192979,0.33333333333333326,720000.0,2018,D,Hersham Village
147,-0.024762204724409598,0.07759999999999989,673500.0,2019,D,Hersham Village
163,-0.0505499789625532,0.09448818897637801,695000.0,2020,D,Hersham Village
179,0.1373834265920597,0.27407407407407414,860000.0,2021,D,Hersham Village
275,-0.10028449502133707,0.18918918918918926,220000.0,2015,F,Hersham Village
291,0.4386721126270967,0.9035369774919615,296000.0,2016,F,Hersham Village
307,-0.11447368421052628,0.355,271000.0,2017,F,Hersham Village
323,0.11316784581605277,0.48816784581605277,305000.0,2018,F,Hersham Village
339,0.1779825908858168,0.4222222222222223,320000.0,2019,F,Hersham Village
355,0.4752319109461969,0.5772727272727274,347000.0,2020,F,Hersham Village
371,-0.10841976663009867,-0.10472972972972971,265000.0,2021,F,Hersham Village
467,-0.015570667579309916,0.3637396772482764,450000.0,2015,S,Hersham Village
483,0.07747420199967903,0.5520504731861198,492000.0,2016,S,Hersham Village
499,0.07613985655737698,0.53515625,491250.0,2017,S,Hersham Village
515,0.10503978779840861,0.4896551724137932,540000.0,2018,S,Hersham Village
531,0.20526427020692029,0.4025245441795231,575000.0,2019,S,Hersham Village
547,0.12277777777777765,0.2777777777777777,575000.0,2020,S,Hersham Village
563,0.04867535744322948,0.16361788617886175,572500.0,2021,S,Hersham Village
659,-0.03696293506957549,0.28330111774098654,381750.0,2015,T,Hersham Village
675,0.10113451261680906,0.5714285714285714,440000.0,2016,T,Hersham Village
691,-0.13174603174603172,0.3682539682539683,431000.0,2017,T,Hersham Village
