,5y_ret,cluster,Year,Type,Lat,Lon
137,-0.05345733012148646,9,2015,T,51.397837820312496,-0.3754697734375
138,-0.028071836589540045,9,2016,T,51.397837820312496,-0.3754697734375
139,0.12380952380952381,9,2017,T,51.397837820312496,-0.3754697734375
140,0.20537037037037043,9,2018,T,51.397837820312496,-0.3754697734375
141,0.043770622890673794,9,2019,T,51.397837820312496,-0.3754697734375
142,-0.00934720337705408,9,2020,T,51.397837820312496,-0.3754697734375
143,0.12111778455604116,9,2021,T,51.397837820312496,-0.3754697734375
154,0.3125580877516745,11,2015,D,51.37751141025641,-0.329299282051282
156,0.05311355311355315,11,2016,D,51.37751141025641,-0.329299282051282
158,-0.013593215063803399,11,2017,D,51.37751141025641,-0.329299282051282
160,-0.07447759526204045,11,2018,D,51.37751141025641,-0.329299282051282
162,-0.0642390375689843,11,2019,D,51.37751141025641,-0.329299282051282
164,-0.19562740979028215,11,2020,D,51.37751141025641,-0.329299282051282
166,-0.027752099995980828,11,2021,D,51.37751141025641,-0.329299282051282
155,0.2206896551724138,11,2015,S,51.37751141025641,-0.329299282051282
157,0.07693888032871077,11,2016,S,51.37751141025641,-0.329299282051282
159,-0.2689337488145238,11,2017,S,51.37751141025641,-0.329299282051282
161,-0.21457489878542502,11,2018,S,51.37751141025641,-0.329299282051282
163,0.1603397260273971,11,2019,S,51.37751141025641,-0.329299282051282
165,-0.01928571428571435,11,2020,S,51.37751141025641,-0.329299282051282
167,0.11591684626436782,11,2021,S,51.37751141025641,-0.329299282051282
173,0.3141392843328712,13,2015,D,51.33762442222222,-0.37671873333333333
174,-0.24272844272844263,13,2016,D,51.33762442222222,-0.37671873333333333
175,0.14351851851851838,13,2017,D,51.33762442222222,-0.37671873333333333
176,-0.18401895499618615,13,2018,D,51.33762442222222,-0.37671873333333333
177,0.08043349420032175,13,2019,D,51.33762442222222,-0.37671873333333333
178,-0.3776357910289142,13,2020,D,51.33762442222222,-0.37671873333333333
179,-0.06883350462487159,13,2021,D,51.33762442222222,-0.37671873333333333
190,0.1134543528260219,14,2015,D,51.360207359550564,-0.3325432808988764
192,0.13851924331376386,14,2016,D,51.360207359550564,-0.3325432808988764
194,0.23556644880174282,14,2017,D,51.360207359550564,-0.3325432808988764
196,-0.22723708713123592,14,2018,D,51.360207359550564,-0.3325432808988764
198,-0.36960358403475435,14,2019,D,51.360207359550564,-0.3325432808988764
200,-0.002906188243499752,14,2020,D,51.360207359550564,-0.3325432808988764
202,-0.18352905497615968,14,2021,D,51.360207359550564,-0.3325432808988764
191,0.031775105518834,14,2015,S,51.360207359550564,-0.3325432808988764
193,-0.06446391163587895,14,2016,S,51.360207359550564,-0.3325432808988764
195,0.07324167107350599,14,2017,S,51.360207359550564,-0.3325432808988764
197,-0.18091168091168086,14,2018,S,51.360207359550564,-0.3325432808988764
199,0.06398972602739716,14,2019,S,51.360207359550564,-0.3325432808988764
201,0.0454909983633387,14,2020,S,51.360207359550564,-0.3325432808988764
203,-0.06713376379539326,14,2021,S,51.360207359550564,-0.3325432808988764
214,-0.20614035087719307,16,2015,F,51.37786289473684,-0.4342823684210526
216,0.28768299683624954,16,2016,F,51.37786289473684,-0.4342823684210526
218,-0.19779738363249155,16,2017,F,51.37786289473684,-0.4342823684210526
220,-0.19852941176470584,16,2018,F,51.37786289473684,-0.4342823684210526
222,0.0795528552467788,16,2019,F,51.37786289473684,-0.4342823684210526
224,-0.28152799581371,16,2020,F,51.37786289473684,-0.4342823684210526
226,-0.025429167335151548,16,2021,F,51.37786289473684,-0.4342823684210526
215,0.08683977232604989,16,2015,T,51.37786289473684,-0.4342823684210526
217,-0.03655911905272613,16,2016,T,51.37786289473684,-0.4342823684210526
219,-0.2058823529411764,16,2017,T,51.37786289473684,-0.4342823684210526
221,-0.16079878385848545,16,2018,T,51.37786289473684,-0.4342823684210526
223,-0.04592652913499817,16,2019,T,51.37786289473684,-0.4342823684210526
225,-0.15269196822594888,16,2020,T,51.37786289473684,-0.4342823684210526
227,-0.1581832733093238,16,2021,T,51.37786289473684,-0.4342823684210526
233,-0.06831983805668007,17,2015,F,51.369888583333335,-0.3653403611111112
234,-0.1972592310620478,17,2016,F,51.369888583333335,-0.3653403611111112
235,-0.3721285514671635,17,2017,F,51.369888583333335,-0.3653403611111112
236,-0.33333333333333326,17,2018,F,51.369888583333335,-0.3653403611111112
237,-0.35535074244751663,17,2019,F,51.369888583333335,-0.3653403611111112
238,0.5436284750120521,17,2020,F,51.369888583333335,-0.3653403611111112
239,0.4476988519885199,17,2021,F,51.369888583333335,-0.3653403611111112
250,-0.09646644992804987,19,2015,S,51.40065451428571,-0.3631952285714286
252,0.2148176682074987,19,2016,S,51.40065451428571,-0.3631952285714286
254,-0.052015707100824704,19,2017,S,51.40065451428571,-0.3631952285714286
256,-0.17534220165799108,19,2018,S,51.40065451428571,-0.3631952285714286
258,-0.2102863260768112,19,2019,S,51.40065451428571,-0.3631952285714286
260,0.37512048192771075,19,2020,S,51.40065451428571,-0.3631952285714286
262,-0.06561517447554266,19,2021,S,51.40065451428571,-0.3631952285714286
251,-0.31579893653149216,19,2015,T,51.40065451428571,-0.3631952285714286
253,0.4735655903110447,19,2016,T,51.40065451428571,-0.3631952285714286
255,0.5492788461538463,19,2017,T,51.40065451428571,-0.3631952285714286
257,0.38688297541238725,19,2018,T,51.40065451428571,-0.3631952285714286
259,-0.3772079468678261,19,2019,T,51.40065451428571,-0.3631952285714286
261,0.5036791324992844,19,2020,T,51.40065451428571,-0.3631952285714286
263,-0.30233429111716903,19,2021,T,51.40065451428571,-0.3631952285714286
269,0.005190400328896505,21,2015,S,51.40417944897959,-0.3763361836734694
270,0.07129881878182731,21,2016,S,51.40417944897959,-0.3763361836734694
271,-0.17148016155856505,21,2017,S,51.40417944897959,-0.3763361836734694
272,-0.04637025045998633,21,2018,S,51.40417944897959,-0.3763361836734694
273,-0.06784850926672048,21,2019,S,51.40417944897959,-0.3763361836734694
274,-0.08933799784714758,21,2020,S,51.40417944897959,-0.3763361836734694
275,0.15924564330737856,21,2021,S,51.40417944897959,-0.3763361836734694
281,-0.008012614401305962,22,2015,D,51.3218068,-0.3865680181818182
282,-0.17974172719935422,22,2016,D,51.3218068,-0.3865680181818182
283,0.19953703703703707,22,2017,D,51.3218068,-0.3865680181818182
284,0.04235588972431081,22,2018,D,51.3218068,-0.3865680181818182
285,0.05917625681405214,22,2019,D,51.3218068,-0.3865680181818182
286,0.09207523412292451,22,2020,D,51.3218068,-0.3865680181818182
287,0.0015809574562570816,22,2021,D,51.3218068,-0.3865680181818182
293,0.2646896551724136,23,2015,S,51.37016319230769,-0.39091438461538464
294,0.04794625133608177,23,2016,S,51.37016319230769,-0.39091438461538464
295,0.2345892903939666,23,2017,S,51.37016319230769,-0.39091438461538464
296,0.06973458007031819,23,2018,S,51.37016319230769,-0.39091438461538464
297,-0.011362838075166914,23,2019,S,51.37016319230769,-0.39091438461538464
298,-0.011447688564476977,23,2020,S,51.37016319230769,-0.39091438461538464
299,0.07440658369040332,23,2021,S,51.37016319230769,-0.39091438461538464
305,0.2073825275761143,24,2015,D,51.32533527272727,-0.35560240909090907
306,-0.5071059022278535,24,2016,D,51.32533527272727,-0.35560240909090907
307,-0.018063718630469294,24,2017,D,51.32533527272727,-0.35560240909090907
308,-0.3830409356725146,24,2018,D,51.32533527272727,-0.35560240909090907
309,-0.09236220472440948,24,2019,D,51.32533527272727,-0.35560240909090907
310,-0.08136775595391255,24,2020,D,51.32533527272727,-0.35560240909090907
311,0.1415898955044108,24,2021,D,51.32533527272727,-0.35560240909090907
322,-0.046216137353875864,25,2015,D,51.37318198360656,-0.41359490163934426
324,-0.010329899985072277,25,2016,D,51.37318198360656,-0.41359490163934426
326,1.12928594533398,25,2017,D,51.37318198360656,-0.41359490163934426
328,0.3566092467862749,25,2018,D,51.37318198360656,-0.41359490163934426
330,0.8619235095613047,25,2019,D,51.37318198360656,-0.41359490163934426
332,0.5842421172530619,25,2020,D,51.37318198360656,-0.41359490163934426
334,0.004120808365240869,25,2021,D,51.37318198360656,-0.41359490163934426
323,0.06638345864661654,25,2015,F,51.37318198360656,-0.41359490163934426
325,1.3220619149679196,25,2016,F,51.37318198360656,-0.41359490163934426
327,-0.11447368421052628,25,2017,F,51.37318198360656,-0.41359490163934426
329,-0.5258313539192399,25,2018,F,51.37318198360656,-0.41359490163934426
331,-0.1398798203922873,25,2019,F,51.37318198360656,-0.41359490163934426
333,-0.05543526018562517,25,2020,F,51.37318198360656,-0.41359490163934426
335,-0.04914458235491437,25,2021,F,51.37318198360656,-0.41359490163934426
341,0.17277631578947372,26,2015,F,51.38678192592592,-0.42097412037037035
342,0.1789707515734913,26,2016,F,51.38678192592592,-0.42097412037037035
343,-0.1345899632802936,26,2017,F,51.38678192592592,-0.42097412037037035
344,-0.12639353400222975,26,2018,F,51.38678192592592,-0.42097412037037035
345,0.2598420013166558,26,2019,F,51.38678192592592,-0.42097412037037035
346,-0.05912749781054494,26,2020,F,51.38678192592592,-0.42097412037037035
347,-0.053690036900369,26,2021,F,51.38678192592592,-0.42097412037037035
358,-0.28107032286598854,27,2015,F,51.38298310169492,-0.4042273559322034
360,0.7500111681929866,27,2016,F,51.38298310169492,-0.4042273559322034
362,0.0006561859193439101,27,2017,F,51.38298310169492,-0.4042273559322034
364,-0.25,27,2018,F,51.38298310169492,-0.4042273559322034
366,-0.1722396313364054,27,2019,F,51.38298310169492,-0.4042273559322034
368,0.2104591836734695,27,2020,F,51.38298310169492,-0.4042273559322034
370,0.34892190339813856,27,2021,F,51.38298310169492,-0.4042273559322034
359,0.1140229885057471,27,2015,S,51.38298310169492,-0.4042273559322034
361,0.1355932203389829,27,2016,S,51.38298310169492,-0.4042273559322034
363,-0.03455596178794673,27,2017,S,51.38298310169492,-0.4042273559322034
365,-0.005530417295123158,27,2018,S,51.38298310169492,-0.4042273559322034
367,0.01199657087746231,27,2019,S,51.38298310169492,-0.4042273559322034
369,0.11229910714285718,27,2020,S,51.38298310169492,-0.4042273559322034
371,0.008741681790683575,27,2021,S,51.38298310169492,-0.4042273559322034
387,-0.03947368421052633,28,2015,F,51.39164291803279,-0.41475059016393445
390,-0.06076353796498535,28,2016,F,51.39164291803279,-0.41475059016393445
393,0.05433583959899746,28,2017,F,51.39164291803279,-0.41475059016393445
396,-0.2651734104046244,28,2018,F,51.39164291803279,-0.41475059016393445
399,-0.221995165831832,28,2019,F,51.39164291803279,-0.41475059016393445
402,-0.1572789115646257,28,2020,F,51.39164291803279,-0.41475059016393445
405,0.01005566756698495,28,2021,F,51.39164291803279,-0.41475059016393445
388,0.22254150702426556,28,2015,S,51.39164291803279,-0.41475059016393445
391,-0.06832627118644075,28,2016,S,51.39164291803279,-0.41475059016393445
394,-0.1394141207153503,28,2017,S,51.39164291803279,-0.41475059016393445
397,0.07098869107602734,28,2018,S,51.39164291803279,-0.41475059016393445
400,0.2109959734386908,28,2019,S,51.39164291803279,-0.41475059016393445
403,-0.045289017341040516,28,2020,S,51.39164291803279,-0.41475059016393445
406,-0.03716475095785454,28,2021,S,51.39164291803279,-0.41475059016393445
389,0.07008222211073911,28,2015,T,51.39164291803279,-0.41475059016393445
392,-0.059535681386718275,28,2016,T,51.39164291803279,-0.41475059016393445
395,0.05555555555555558,28,2017,T,51.39164291803279,-0.41475059016393445
