,3y_ret,3y_ret_ward,Price,Year,Type,Ward
99,0.030701754385964897,0.25,675000.0,2016,D,Hersham Village
115,0.1762047244094489,0.31400000000000006,821250.0,2017,D,Hersham Village
131,0.026988038708901874,0.13385826771653542,720000.0,2018,D,Hersham Village
147,-0.009416466826538739,-0.0022222222222222365,673500.0,2019,D,Hersham Village
163,-0.1917913552743149,-0.15372907153729076,695000.0,2020,D,Hersham Village
179,0.10478927203065136,0.19444444444444442,860000.0,2021,D,Hersham Village
243,0.05520625889046937,0.10783783783783774,204950.0,2013,F,Hersham Village
259,0.27397236464760577,0.44694533762057875,225000.0,2014,F,Hersham Village
275,-0.18947368421052624,0.10000000000000009,220000.0,2015,F,Hersham Village
291,0.08925469626738236,0.44425469626738234,296000.0,2016,F,Hersham Village
307,-0.08219150025601629,0.20444444444444443,271000.0,2017,F,Hersham Village
323,0.2639146567717998,0.38636363636363646,305000.0,2018,F,Hersham Village
339,0.0847711179814501,0.08108108108108114,320000.0,2019,F,Hersham Village
355,0.3133940938263251,0.28044280442804426,347000.0,2020,F,Hersham Village
371,-0.12023845007451572,-0.1311475409836066,265000.0,2021,F,Hersham Village
435,-0.022121581833524306,0.0985680733388894,362500.0,2013,S,Hersham Village
451,0.05600839437523386,0.29329652996845423,409975.0,2014,S,Hersham Village
467,0.09477459016393452,0.40625,450000.0,2015,S,Hersham Village
483,0.01877984084880646,0.35724137931034483,492000.0,2016,S,Hersham Village
499,-0.020934286838405702,0.1982437953533751,491250.0,2017,S,Hersham Village
515,0.07499999999999996,0.19999999999999996,540000.0,2018,S,Hersham Village
531,0.16410148584244455,0.16869918699186992,575000.0,2019,S,Hersham Village
547,0.13228121336878518,0.17048346055979646,575000.0,2020,S,Hersham Village
563,-0.017592592592592604,0.06018518518518512,572500.0,2021,S,Hersham Village
627,0.26443476778387875,0.3446508109925204,400000.0,2013,T,Hersham Village
643,0.10211149372731687,0.3303571428571428,372500.0,2014,T,Hersham Village
659,-0.10809523809523824,0.21190476190476182,381750.0,2015,T,Hersham Village
