,3y_ret,cluster,Year,Type,Lat,Lon
118,-0.13224637681159424,8,2018,S,51.402374888888886,-0.35657815873015875
122,-0.10604697651174422,8,2019,S,51.402374888888886,-0.35657815873015875
126,-0.11465484657939051,8,2020,S,51.402374888888886,-0.35657815873015875
130,0.2725871857258719,8,2021,S,51.402374888888886,-0.35657815873015875
99,0.10159485422725578,8,2013,T,51.402374888888886,-0.35657815873015875
103,0.30519643896152804,8,2014,T,51.402374888888886,-0.35657815873015875
107,-0.12882352941176478,8,2015,T,51.402374888888886,-0.35657815873015875
111,-0.038987577312209476,8,2016,T,51.402374888888886,-0.35657815873015875
115,0.02318247972832488,8,2017,T,51.402374888888886,-0.35657815873015875
119,0.17992704826038164,8,2018,T,51.402374888888886,-0.35657815873015875
123,0.13852851909994768,8,2019,T,51.402374888888886,-0.35657815873015875
127,-0.08615384615384614,8,2020,T,51.402374888888886,-0.35657815873015875
131,-0.13143480467649604,8,2021,T,51.402374888888886,-0.35657815873015875
135,-0.08231688354477606,9,2013,T,51.397837820312496,-0.3754697734375
136,0.0028654619812851223,9,2014,T,51.397837820312496,-0.3754697734375
137,0.11571428571428566,9,2015,T,51.397837820312496,-0.3754697734375
138,0.00520467836257299,9,2016,T,51.397837820312496,-0.3754697734375
139,0.009548560072437207,9,2017,T,51.397837820312496,-0.3754697734375
140,0.11930423639378862,9,2018,T,51.397837820312496,-0.3754697734375
141,0.05965166713835002,9,2019,T,51.397837820312496,-0.3754697734375
142,-0.003343108504398895,9,2020,T,51.397837820312496,-0.3754697734375
143,-0.029381189329717783,9,2021,T,51.397837820312496,-0.3754697734375
150,0.26639849771200064,11,2013,D,51.37751141025641,-0.329299282051282
152,0.1020146520146521,11,2014,D,51.37751141025641,-0.329299282051282
154,0.004953003423591618,11,2015,D,51.37751141025641,-0.329299282051282
156,-0.07917085707900329,11,2016,D,51.37751141025641,-0.329299282051282
158,0.0176299443507979,11,2017,D,51.37751141025641,-0.329299282051282
160,-0.06914219103120312,11,2018,D,51.37751141025641,-0.329299282051282
162,-0.01836742896185839,11,2019,D,51.37751141025641,-0.329299282051282
164,-0.16496583703651657,11,2020,D,51.37751141025641,-0.329299282051282
166,-0.03380410858400573,11,2021,D,51.37751141025641,-0.329299282051282
151,0.2907389162561578,11,2013,S,51.37751141025641,-0.329299282051282
153,0.27786337955829477,11,2014,S,51.37751141025641,-0.329299282051282
155,-0.1544506164476358,11,2015,S,51.37751141025641,-0.329299282051282
157,-0.3020242914979756,11,2016,S,51.37751141025641,-0.329299282051282
159,-0.0671780821917809,11,2017,S,51.37751141025641,-0.329299282051282
161,-0.09285714285714275,11,2018,S,51.37751141025641,-0.329299282051282
163,0.32118354885057454,11,2019,S,51.37751141025641,-0.329299282051282
165,0.06596441947565546,11,2020,S,51.37751141025641,-0.329299282051282
167,0.012533640907343324,11,2021,S,51.37751141025641,-0.329299282051282
171,0.13504447162113253,13,2013,D,51.33762442222222,-0.37671873333333333
172,-0.13230373230373216,13,2014,D,51.33762442222222,-0.37671873333333333
173,0.24135802469135803,13,2015,D,51.33762442222222,-0.37671873333333333
174,-0.0019069412662089391,13,2016,D,51.33762442222222,-0.37671873333333333
175,-0.06252645838625015,13,2017,D,51.33762442222222,-0.37671873333333333
176,-0.2572284633030495,13,2018,D,51.33762442222222,-0.37671873333333333
177,0.1713771839671121,13,2019,D,51.33762442222222,-0.37671873333333333
178,-0.28472895040369084,13,2020,D,51.33762442222222,-0.37671873333333333
179,0.1052956607546851,13,2021,D,51.33762442222222,-0.37671873333333333
186,0.15054555309193285,14,2013,D,51.360207359550564,-0.3325432808988764
188,0.3795172863666014,14,2014,D,51.360207359550564,-0.3325432808988764
190,-0.05413943355119821,14,2015,D,51.360207359550564,-0.3325432808988764
192,-0.026560815446437402,14,2016,D,51.360207359550564,-0.3325432808988764
194,0.015221965788759118,14,2017,D,51.360207359550564,-0.3325432808988764
196,-0.15763165032743054,14,2018,D,51.360207359550564,-0.3325432808988764
198,-0.21094131720384812,14,2019,D,51.360207359550564,-0.3325432808988764
200,-0.19694078840992135,14,2020,D,51.360207359550564,-0.3325432808988764
202,-0.0014198782961460932,14,2021,D,51.360207359550564,-0.3325432808988764
187,0.12642350879987263,14,2013,S,51.360207359550564,-0.3325432808988764
189,-0.0013330794134451818,14,2014,S,51.360207359550564,-0.3325432808988764
191,0.002503084787590426,14,2015,S,51.360207359550564,-0.3325432808988764
193,-0.1764245014245014,14,2016,S,51.360207359550564,-0.3325432808988764
195,0.0762764632627646,14,2017,S,51.360207359550564,-0.3325432808988764
197,-0.061170212765957466,14,2018,S,51.360207359550564,-0.3325432808988764
199,0.10088038649997699,14,2019,S,51.360207359550564,-0.3325432808988764
201,-0.008728562980484966,14,2020,S,51.360207359550564,-0.3325432808988764
203,-0.06623931623931623,14,2021,S,51.360207359550564,-0.3325432808988764
